task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Volunteer drivers needed for medicine transport tomorrow,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Food & Nutrition,Assam,None,2,12,7,high,High
Critical: trauma support volunteers needed at hospital,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Mumbai,None,4,1,17,critical,Critical
Food distribution volunteers needed this evening,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Gujarat,None,4,12,10,high,High
Skill training session support volunteers,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Andhra Pradesh,None,9,48,16,medium,High
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Kerala,None,3,30,21,medium,High
Urgent rescue operation – volunteers needed immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Rescue & Evacuation,Pune,Flood,5,2,20,critical,Critical
Emergency blood donors required immediately,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Medical,Uttarakhand,Cyclone,1,6,16,critical,Critical
Emergency medical aid volunteers for flood victims,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Gujarat,Flood,2,3,11,critical,Critical
Video editing volunteer for awareness campaign,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,West Bengal,None,3,504,13,medium,Low
Health camp registration volunteers needed Sunday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Andhra Pradesh,None,7,72,10,high,Medium
Emergency blood donors required immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Kerala,Flood,6,6,23,critical,High
Rescue team needed near landslide zone tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Rajasthan,Cyclone,2,6,14,high,Critical
Urgent: stranded flood victims need immediate help,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Guwahati,Landslide,2,4,9,critical,Critical
Emergency food and water distribution in disaster zone,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Pune,Earthquake,2,1,23,critical,Critical
Admin assistance for NGO office next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Chennai,None,1,168,10,low,Low
Help needed for refugee documentation support,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Psychosocial Support,Assam,None,8,72,8,medium,Medium
Urgent: stranded flood victims need immediate help,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Kerala,None,3,3,2,critical,Critical
Immediate evacuation support needed in cyclone area,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Uttarakhand,Cyclone,1,6,10,critical,Critical
Volunteers needed tomorrow for ration distribution,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Karnataka,None,3,30,10,high,High
Life-threatening situation – rescue volunteers needed NOW,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Bihar,None,1,12,23,critical,Critical
Rescue team needed near landslide zone tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Andhra Pradesh,Flood,5,3,17,high,Critical
Community survey volunteers for planning phase,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Education,Pune,None,2,504,17,low,Low
Relief camp logistics volunteers needed tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Food & Nutrition,Himachal Pradesh,None,5,48,11,high,High
Community kitchen volunteers needed this week,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Bihar,None,5,48,16,medium,Medium
Emergency food and water distribution in disaster zone,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Assam,Earthquake,2,3,19,critical,High
Immediate evacuation support needed in cyclone area,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Rescue & Evacuation,Pune,Earthquake,4,1,6,critical,Critical
Research assistant volunteer for grant writing,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Bihar,None,2,168,9,low,Low
Legal aid camp volunteers needed next few days,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Guwahati,None,9,72,16,low,Medium
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Karnataka,None,6,18,16,critical,High
Community kitchen volunteers needed this week,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Skill Training,Kerala,Flood,3,48,17,low,Medium
Awareness campaign volunteers needed this Saturday,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Awareness,Guwahati,None,5,72,14,medium,Medium
Emergency medical aid volunteers for flood victims,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Madhya Pradesh,Flood,1,6,7,critical,Critical
Volunteer coordinator assistant needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Kerala,None,2,120,14,low,Low
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Uttarakhand,Flood,4,24,20,high,High
Emergency medical aid volunteers for flood victims,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,West Bengal,None,3,1,10,critical,Critical
Library books sorting volunteers this weekend,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,Mumbai,None,9,72,11,medium,Medium
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Bihar,None,3,12,7,high,High
Video editing volunteer for awareness campaign,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Awareness,Odisha,None,3,240,10,low,Low
Life-threatening situation – rescue volunteers needed NOW,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Logistics & Transport,Gujarat,Cyclone,2,1,3,critical,Critical
Critical medicine delivery volunteers needed today,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Pune,Landslide,4,12,15,critical,Critical
